Latitude,Longitude
-33.765201,151.26176
-35.073708,150.666642
-35.35872708,150.4740157
-35.70457,150.177081
-36.88638,149.90928
-36.223809,150.127168
-36.673918,149.840789
-35.910634,150.081635
-36.426531,150.079036
-36.865517,149.918187
-34.44695,150.437937
-34.873584,150.603133
-34.481214,150.417729
-34.667243,150.850642
-34.56623799,150.829803
-34.929861,150.75681
-34.579212,150.867404
-34.588953,150.8661
-34.876892,150.605602
-34.427045,150.896423
-34.373992,150.896949
-34.546739,150.863582
-34.494859,150.79518
-34.391752,150.894183
-34.57264098,150.775591
-34.45528697,150.843044
-34.337222,150.912791
-34.436093,150.862734
-34.074187,150.800344
-34.100178,150.797929
-34.041672,150.737625
-34.054983,150.694732
-34.069712,150.811413
-34.222582,150.593056
-34.02546,150.77645
-34.072949,150.803699
-34.04841178,150.7592497
-34.069405,150.729703
-34.001331,150.739747
-34.032662,150.81821
-33.93320546,150.9492221
-33.954025,150.897029
-33.91771,150.923395
-33.99965,150.863961
-33.91954203,150.8830697
-33.989471,150.882626
-34.02998794,150.8500058
-33.95216,150.85544
-33.93696821,150.8438535
-35.249817,149.138749
-35.349715,149.231749
-35.23865099,149.066335
-34.757593,149.71904
-35.22269899,149.019921
-35.185077,149.132594
-35.195375,149.020963
-35.204825,149.033784
-35.381278,149.200438
-35.29785325,149.1873553
-35.348689,149.08425
-36.233487,149.124475
-35.43445264,149.1135355
-35.36630499,149.094228
-35.34059299,149.052288
-35.38032358,149.0575749
-35.415838,149.067088
-35.40372597,149.098678
-35.457078,149.092691
-36.41552899,148.618647
-34.289048,146.053653
-34.282334,146.074711
-35.115073,147.371238
-35.10626598,147.368178
-35.11936137,147.3802475
-34.5505374,146.3986388
-35.300153,148.22466
-35.063819,148.101781
-32.592514,149.587135
-33.284112,149.098488
-32.254425,148.632113
-32.245594,148.600849
-33.41738699,149.582546
-33.482658,150.155835
-32.254717,148.57672
-33.418355,149.582168
-33.283626,149.099984
-32.555133,148.944204
-34.311452,148.290985
-33.136349,148.174599
-34.63678199,148.02457
-34.443729,147.531962
-33.83558699,148.692248
-33.38566,148.005521
-34.84554599,148.914204
-33.752337,150.69261
-33.75287466,150.6596323
-33.60188097,150.753389
-33.76717596,150.703837
-33.78900685,150.668253
-33.60533499,150.821049
-33.719989,150.710218
-33.713399,150.331108
-33.716873,150.3108158
-33.727739,150.72579
-33.73956799,150.885755
-33.79435,150.790138
-33.764367,150.817487
-33.774501,150.934465
-33.743991,150.834838
-33.770466,150.904443
-33.79577797,150.904875
-33.74207899,150.922711
-33.72655,150.844692
-33.742916,150.808267
-33.76645298,150.769387
-33.893364,150.938678
-33.868687,150.956333
-33.81584698,150.970797
-33.88633999,150.887168
-33.863845,150.938685
-33.88684546,150.8487645
-33.81777,150.933523
-33.85742496,150.904217
-33.787741,150.950609
-33.907853,150.865819
-33.82965999,150.952982
-33.691013,150.924363
-33.759027,150.991341
-33.600999,151.007233
-33.7066841,150.9101084
-33.693801,151.018634
-33.713635,150.971168
-33.734126,150.928151
-33.746369,150.952183
-33.68522,150.952556
-33.77269462,150.9695273
-33.704755,150.879107
-33.882222,151.000428
-33.892932,151.060971
-33.817917,151.001649
-33.819771,151.020282
-33.898555,150.994179
-33.87182262,151.0318548
-33.835399,150.991566
-33.833162,151.055059
-33.84933397,151.030745
-33.864691,151.043626
-33.84145397,151.010601
-33.92514375,151.0589791
-33.912263,151.118083
-33.913614,151.10291
-33.914641,151.040026
-33.889379,151.124003
-33.874631,151.10595
-33.877267,151.101959
-33.87295996,151.094142
-33.88483,151.149306
-33.94109,151.09982
-33.918111,151.07598
-33.902473,151.194661
-33.930168,151.154387
-33.916516,151.150246
-33.951762,151.230819
-33.957671,151.141123
-33.92546999,151.211416
-33.94481209,151.2242561
-33.921956,151.18507
-33.90623,151.172797
-33.96203598,151.132778
-33.957342,151.230785
-34.01369,151.015491
-33.952812,151.051455
-34.06461199,151.013657
-33.965505,151.104931
-33.95214596,151.012138
-34.010034,151.104187
-34.04249999,151.118253
-33.968547,151.064731
-34.034497,151.099981
-33.77707199,151.052416
-33.777469,151.118155
-33.791609,151.081071
-33.731536,151.082005
-33.704725,151.099336
-33.81291997,151.104906
-33.806823,151.088171
-33.749493,151.064532
-33.81461,151.054459
-33.720846,151.044132
-33.77768497,151.108138
-33.81537099,151.169561
-33.831999,151.223851
-33.83028199,151.222756
-33.857672,151.181298
-33.810416,151.2089
-33.87304498,151.207038
-33.827359,151.201462
-33.8775958,151.2447341
-33.8775958,151.2447341
-33.89170699,151.251574
-33.712194,151.298148
-33.749533,151.224883
-33.729832,151.15922
-33.754834,151.152231
-33.739915,151.209837
-33.768392,151.26557
-33.754955,151.296503
-33.788516,151.267575
-33.69625299,151.296299
-33.636243,151.329798
-33.675185,151.302617
-33.37544209,151.4729474
-33.272669,151.464962
-33.426235,151.343966
-33.30703,151.412389
-33.486427,151.325254
-33.437382,151.392632
-33.52159,151.319586
-33.185256,151.55782
-33.385917,151.366145
-33.240937,151.502729
